이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170743.png,자르코 바리카 노바,Zarco Barrica Nova,고도주,9,1,5,기타,시나몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170591.png,오프리 20년 토니 포트,Offley 20 Years,주정강화,15,3,3,블렌디드,시나몬,아몬드,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170590.png,오프리 리저브 화이트 포트,Offley Reserve White,주정강화,4,3,1,블렌디드,꽃,레몬, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170588.png,오프리 화이트 포트,Offley White Porto,주정강화,3,3,1,블렌디드,꽃,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170457.png,오프리 10년 토니 포트,Offley 10 Years,주정강화,8,3,3,블렌디드,말린과일,시나몬, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170451.png,울프 블라스 레드 라벨 타우니,Wolf Blass Red Label Tawny,주정강화,1,3,4,블렌디드,말린과일,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170324.png,오프리 루비 포트,Offley Ruby Porto,주정강화,3,3,2,블렌디드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170278.jpg,커스텀 드링스 라 티타 틴토 데 베라노 리몬,Custom Drinks La Tita Tinto de Verano Limon,기타,0,3,1,기타 품종,레몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170277.jpg,커스텀 드링스 라 티타 틴토 데 베라노,Custom Drinks La Tita Tinto de Verano,기타,0,3,2,기타 품종,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170276.jpg,커스텀 드링스 라 티타 상그리아 블랑카,Custom Drinks La Tita Sangria Blanca,기타,0,3,1,기타 품종,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170275.png,커스텀 드링스 라 티타 상그리아,Custom Drinks La Tita Sangria,기타,0,3,2,기타 품종,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170104.png,미구엘 10년 화이트 포트,Miguels 10 Years White Port,주정강화,10,3,4,블렌디드,숙성,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170103.png,미구엘 10년 토니 포트,Miguels 10 Years Tawny Port,주정강화,10,3,4,블렌디드,말린과일,숙성,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170102.png,미구엘 엘비브이 포트,Miguels L.B.V Port,주정강화,7,5,4,블렌디드,말린과일,베리,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170101.png,미구엘 루비 포트,Miguels Ruby Port,주정강화,4,5,4,블렌디드,베리,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170100.png,미구엘 화이트 스윗 포트,Miguels White Sweet Port,주정강화,4,5,4,블렌디드,꽃,레몬,오크통
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170099_001.png,미구엘 토니 포트,Miguels Tawny Port,주정강화,4,3,3,블렌디드,시나몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169981.png,마크드플라츠 글루바인,Marktplatz Gluhwein,기타,0,3,3,기타 품종,레몬,베리,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169063.png,포르투 발도우로 10년 숙성 포트,Porto Valdouro 10 years old Port,주정강화,7,5,5,블렌디드,아몬드,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168895.png,자나 상그리아,Jana Sangria,기타,0,2,2,템프라니요,레몬,파인애플, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168889.png,샤또 롱보 리브잘트 앙브레,Château Rombeau Rivesaltes Ambre,주정강화,6,5,5,블렌디드,레몬,아몬드,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168888.png,샤또 롱보 뮈스카 드 리브잘트,Château Rombeau Muscat de Rivesaltes,주정강화,5,4,5,뮈스까 블랑 쁘띠 그랑,꽃,레몬,파인애플
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168697.png,버메스터 타베도 레드,Burmester Tavedo Red,주정강화,1,1,3,블렌디드,베리,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168523.png,글로리아 토니 포트 와인,Gloria Tawny Porto,주정강화,4,4,4,블렌디드,말린과일,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168429.png,와레즈 오티마 10년 숙성 포트,Warre's Otima 10 Year old Port,주정강화,6,5,5,포트 블렌드,사과,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168312.png,앙고브 레어 토니 25년,Angove Rare Tawny 25 years,주정강화,12,5,5,블렌디드,숙성,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168293.png,다우 파인 화이트 포트,Dow's Fine White Port,주정강화,3,3,3,포트 블렌드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167753.png,포르투 발도우로 화이트 포트,Porto Valdouro White Port,주정강화,3,5,5,블렌디드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167752.png,포르투 발도우로 토니 포트,Porto Valdouro Tawny Port,주정강화,3,5,5,블렌디드,아몬드,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167644.png,버메스터 타우니 포트,Burmester Tawny Port,주정강화,4,5,5,블렌드,베리,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167222.png,프리바다 모스카텔 드 세투발 꼬냑,Privada Moscatel de Setubal Cognac,주정강화,12,5,5,모스카텔 드 세투발,레몬,숙성, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167191.png,주스티노스 마데이라 리저브 파인 드라이 5년,Justino's Medeira Reserve Fine Dry 5 Years Old,주정강화,7,1,3,틴타 네그라 몰레,레몬,아몬드,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167190.png,주스티노스 마데이라 파인 드라이 3년,Justino's Madeira Fine dry 3 years Old,주정강화,5,1,3,틴타 네그라 몰레,아몬드,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167188.jpg,풀뽀로꼬 화이트 상그리아,Pulpoloco White Sangria,기타,1,3,2,아이렌,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167168.png,앙고브 레어 토니 15년,Angove Rare Tawny 15 years,주정강화,10,5,5,블렌디드,꽃,말린과일,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167167.png,앙고브 그랜드 토니 10년,Angove Grand Tawny 10years,주정강화,7,5,5,블렌드,말린과일,오크통, 
