이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172248.png,낙낙 화이트 블랜드,Knock Knock White Blend,화이트,2,1,2,블렌디드,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172241.png,살트램 1859 에덴 밸리 샤르도네,Saltram 1859 Eden Valley Chardonnay,화이트,6,1,3,샤르도네,레몬,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172236.png,윈즈 쿠나와라 에스테이트 리슬링,Wynns Coonawarra Estate Riesling,화이트,6,1,3,리슬링,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172226.png,뜨레 세콜리 모스카토 다스티,Tre Secoli Moscato d'Asti,화이트,4,4,2,모스카토,꽃,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172215.png,이모스 소비뇽블랑 캘리포니아,Emos Sauvignon Blanc California,화이트,11,1,2,소비뇽 블랑,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172164.png,테누타 델 판트 모스카토 다스티,Tenuta Del Fant Moscato d'Asti,화이트,6,3,2,모스카토,레몬,허브, 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0172000/T0172138_001.png,퓨리티 러브미 오어 해잇미,Purity Love Me Or Hate Me,화이트,14,1,3,블렌디드,파인애플, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172127.jpg,비냐메인 화이트,Vina Mein White,화이트,8,1,2,블렌디드,꽃,레몬,아몬드
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172092.png,오 피에 뒤 몽 쇼브 부르고뉴 샤르도네,Au Pied du Mont Chauve Bourgogne Chardonnay,화이트,11,1,3,샤르도네,꽃,돌,숙성
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172091.png,도멘 피에르 즐랑 부르고뉴 알리고떼,Domaine Pierre Gelin Bourgogne Aligote,화이트,6,1,2,알리고테,꽃,돌,레몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172084.png,도멘 피에르 즐랑 부르고뉴 코트 도르 샤르도네,Domaine Pierre Gelin Bourgogne Côte-d'Or Chardonnay,화이트,10,1,3,샤르도네,꽃,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172077.png,레이마리 세씨 부르고뉴 샤르도네 퀴베 마샤,Leymarie Ceci Bourgogne Chardonnay Cuvee Macha,화이트,8,1,4,샤르도네,꽃,돌,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172069.png,쟝 마크 브와이요 마콩 빌라쥬,Jean Marc Boillot Macon Villages,화이트,10,1,4,샤르도네,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172030.png,크리머리 샤도네이 캔,Creamery Chardonnay Can,화이트,2,1,3,샤르도네,레몬,사과,파인애플
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172013.png,프랑소와 크로쉐 상세르 블랑,Francois Crochet Sancerre Blanc,화이트,15,1,1,소비뇽 블랑,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172005.png,도멘 폴 마스 세크레 아상블라쥬,Domaines Paul Mas Secret d'Assemblage,화이트,5,1,2,블렌디드,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172003.png,도멘 폴 마스 1892 블랑,Domaines Paul Mas 1892 Blanc,화이트,5,1,2,블렌디드,꽃,사과,파인애플
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172000.png,도멘 폴 마스 비녜 드 니콜 블랑,Domaines Paul Mas Vignes de Nicole Blanc,화이트,5,1,2,블렌디드,꽃,돌,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171984.png,클럼프 블랑,Klumpp Blanc,화이트,7,2,3,블렌디드,베리,파인애플, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171887.jpg,아스케리 랑게 아르네이스,Ascheri Langhe Arneis,화이트,6,1,1,아르네이스,꽃,돌,레몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171884.jpg,토르나토레 에트나 비앙코,Tornatore Etna Bianco,화이트,7,1,1,카리칸테,꽃,돌,레몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171877.png,몬테 델 프라 까델마그로 쿠스토자 수페리오레,Monte del Fra Ca del Magro Custoza Superiore,화이트,4,1,2,블렌디드,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171873.jpg,도멘 제라르 피유 상세르 그랑 록,Domaine Gerard Fiou Sancerre Le Grand Roc,화이트,14,1,1,소비뇽 블랑,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171872.jpg,도멘 제라르 피유 상세르 블랑,Domaine Gerard Fiou Sancerre Blanc,화이트,9,1,1,소비뇽 블랑,꽃,돌,레몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171869.jpg,프랑수아 티안퐁 테라 부르디갈라 블랑,Francois Thienpont Terra Burdigala Blanc,화이트,6,1,1,소비뇽 블랑,파인애플, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171861.jpg,슈그 샤도네이 소노마 코스트,Schug Chardonnay Sonoma Coast,화이트,10,1,4,샤르도네,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171857.jpg,보데가스 셀라야 에라두라 아이렌,Bodegas Celaya Herradura Airen,화이트,2,1,2,아이렌,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171856.png,도멘 보나르도 끌로 데 외죠,Domaine Bonnardot Bourgogne Haute-Cotes de Nuits 'Clos des Oiseaux',화이트,7,1,3,샤르도네,꽃,돌, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171846.jpg,렌첼 뀌베 빈센트,Rencel Cuvee Vincent,화이트,15,1,3,기타 품종,돌,레몬,아몬드
