이미지,이름,영문이름,종류,가격,당도,바디,아로마1,아로마2,아로마3,품종
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170591.png,오프리 20년 토니 포트,Offley 20 Years,주정강화,15,3,3,시나몬,아몬드,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170588.png,오프리 화이트 포트,Offley White Porto,주정강화,3,3,1,꽃,사과,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170104.png,미구엘 10년 화이트 포트,Miguels 10 Years White Port,주정강화,10,3,4,숙성,시나몬,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170103.png,미구엘 10년 토니 포트,Miguels 10 Years Tawny Port,주정강화,10,3,4,말린과일,숙성,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170102.png,미구엘 엘비브이 포트,Miguels L.B.V Port,주정강화,7,5,4,말린과일,베리,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170100.png,미구엘 화이트 스윗 포트,Miguels White Sweet Port,주정강화,4,5,4,꽃,레몬,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169981.png,마크드플라츠 글루바인,Marktplatz Gluhwein,기타,0,3,3,레몬,베리,시나몬,기타 품종
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168889.png,샤또 롱보 리브잘트 앙브레,Château Rombeau Rivesaltes Ambre,주정강화,6,5,5,레몬,아몬드,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168888.png,샤또 롱보 뮈스카 드 리브잘트,Château Rombeau Muscat de Rivesaltes,주정강화,5,4,5,꽃,레몬,파인애플,뮈스까 블랑 쁘띠 그랑
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168523.png,글로리아 토니 포트 와인,Gloria Tawny Porto,주정강화,4,4,4,말린과일,시나몬,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168312.png,앙고브 레어 토니 25년,Angove Rare Tawny 25 years,주정강화,12,5,5,숙성,시나몬,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167644.png,버메스터 타우니 포트,Burmester Tawny Port,주정강화,4,5,5,베리,시나몬,오크통,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167191.png,주스티노스 마데이라 리저브 파인 드라이 5년,Justino's Medeira Reserve Fine Dry 5 Years Old,주정강화,7,1,3,레몬,아몬드,오크통,틴타 네그라 몰레
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167168.png,앙고브 레어 토니 15년,Angove Rare Tawny 15 years,주정강화,10,5,5,꽃,말린과일,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167051.jpg,로레아 넘버 2 상그리아,Lolea No.2 Sangria,기타,3,1,1,꽃,레몬,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166619.jpg,하셀그로브 디 올드넛 토니 포트,Haselgrove The Old Nut Tawny Port,주정강화,10,5,5,말린과일,시나몬,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166298.jpg,레오나르드 커리쉬 산타 아니타 글루바인,Leonard Kreusch Santa Anita Gluhwein,기타,1,3,4,레몬,베리,숙성,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166119.jpg,쿠자 보다 7년,Cuza Voda 7years,고도주,8,1,4,사과,시나몬,아몬드,기타
https://wine21.speedgabia.com/WINE_MST/TITLE/0165000/W0165334.jpg,풀뽀로꼬 상그리아 카토캔,Pulpoloco Sangria Cartocan,기타,0,3,3,레몬,베리,사과,템프라니요
