이미지,이름,영문이름,종류,가격,당도,바디,아로마1,아로마2,아로마3,품종
https://wine21.speedgabia.com/WINE_MST/IMAGE/0172000/T0172133_001.png,엘비이 랑그독 프렌치 로제,LVE Languedoc French Rose,로제,10,2,4,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172119.png,보데가스 페나스칼  코랄 드 페나스칼,Bodegas Penascal  Coral de Penascal,로제,3,1,2,꽃,레몬,사과,템프라니요
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171866.jpg,지게티 프리잔테 로제,Szigeti Frizzante Rose,로제,6,1,3,레몬,베리,사과,피노 누아
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171851.jpg,이스티네 로사토,Istine Rosato,로제,7,2,3,레몬,베리,사과,산지오베제
https://wine21.speedgabia.com/WINE_MST/IMAGE/0171000/T0171323_001.png,그르기치 힐스 이스테이트 나파 밸리 로제,Grgich Hills Estate Napa Valley Rose,로제,7,1,3,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/IMAGE/0171000/T0171234_001.png,팍스톤 나우 로제,Paxton Now Rose,로제,6,1,2,꽃,돌,레몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170499.png,판티니 칼라렌타 로사토 메를로,Fantini Calalenta Rosato Merlot,로제,7,1,2,꽃,돌,베리,메를로
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170452.png,플라네타 로제,Planeta Rose,로제,2,2,2,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170332.png,페마르 그랑 아파소 프리미티보 로사토,Femar Gran Appasso Primitivo Rosato,로제,4,1,3,꽃,베리,허브,프리미티보
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170142.png,아소르스 뷸카니코 로제,Azores Vulcanico Rose,로제,4,1,2,꽃,돌,레몬,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170085.png,라스 비노 알비노 피앤오,L.A.S. Vino Albino PNO,로제,15,1,2,베리,숙성,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169965.png,무똥 까데 레 빠셀 로제,Mouton Cadet Les Parcelles Rose,로제,3,1,2,레몬,아몬드,파인애플,메를로
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169866_001.png,도멘 몽로즈 솔리스 루멍 로제,Domaine Montrose Solis Lumen Rose,로제,4,1,2,돌,베리,허브,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169299.png,프렌치 비치스 쥬시 레드,French Beaches Juicy Red,로제,4,1,2,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169015.png,프레스코발디 알리에 로제,Frescobaldi Alie Rose,로제,4,1,2,꽃,레몬,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169011.png,깔멜 앤 조셉 빌라 블랑쉬 그르나쉬 로제,Calmel & Joseph Villa Blanche Grenache Rose,로제,2,1,3,꽃,레몬,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168939.png,에스탕동 제니스,Estandon Zenith,로제,2,1,2,꽃,사과,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168936.png,에스탕동 리플렛,Estandon Reflet,로제,2,1,2,꽃,레몬,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168875.png,치비테 라스 핀카스 로제 배럴 숙성,Chivite Las Fincas Rosado Barrica,로제,5,1,3,꽃,레몬,사과,가르나차
https://wine21.speedgabia.com/WINE_MST/IMAGE/0168000/T0168767_001.png,퓨리티 로제,Purity Rose,로제,12,1,4,레몬,베리,오크통,무르베드르
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168707.png,레오파드 립 컬리나리아 뮈스카,Leopard's Leap Culinaria Muscat,로제,5,3,3,꽃,사과,파인애플,뮈스까
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168705.png,레오파드 립 샤르도네 피노누아,Leopard's Leap Chardonnay Pinot Noir,로제,4,1,2,레몬,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168652.png,캐논볼 엔젤스 카우보이즈 로제,Cannonball Angels & Cowboys Rose,로제,5,1,2,꽃,사과,파인애플,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168560.png,루센티 피오코 디 로제,Lusenti Fiocco di Rose,로제,5,1,2,꽃,돌,사과,피노 네로
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168478.png,라몬 빌바오 라롬바 핀카 라린데,Ramon Bilbao Lalomba Finca Lalinde,로제,8,1,2,레몬,사과,파인애플,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168334.png,11th 아워 셀러즈 화이트 진판델,11th Hour Cellars White Zinfandel,로제,3,3,2,레몬,말린과일,사과,진판델
https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168080.png,PWS 래번 로제 러시안 리버 벨리,PWS Raeburn Rose Russian River Valley,로제,8,1,2,꽃,베리,파인애플,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167162.png,까스텔 미미 로제 드 불보아카,Castel MiMi Rose de Bulboaca,로제,7,1,2,꽃,레몬,말린과일,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167121.jpg,샤또 푸에슈오 아르갈리 로제,Chateau Puech Haut Argali Rose,로제,9,1,2,레몬,사과,숙성,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167097.jpg,마리에따 로제,Marietta Rose,로제,3,1,3,레몬,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166840.jpg,보니 둔 뱅 그리 드 시거,Bonny Doon Vin Gris de Cigare,로제,3,1,2,꽃,베리,크로와상,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166749.jpg,에라스모 로제 드 무르베드르,Erasmo Rose de Mourvedre,로제,5,1,2,꽃,레몬,베리,무르베드르
https://wine21.speedgabia.com/WINE_MST/IMAGE/0166000/T0166732_001.png,제라르 베르트랑 햄튼 워터 로제,Gerard Bertrand Hampton Water Rose,로제,9,1,3,꽃,돌,레몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/IMAGE/0166000/T0166171_003.png,카사 로호 하루,Casa Rojo Haru,로제,6,1,2,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/IMAGE/0165000/T0165709_001.png,보데가스 루손 에이트 메세스,Bodegas Luzon 8 Meses,로제,3,1,4,베리,숙성,시나몬,가르나차 틴토레라
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164787.jpg,줄리아스 다즐 로제,Julia's Dazzle Rose,로제,5,1,3,레몬,베리,파인애플,피노 그리
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164514.jpg,샤또 푸에슈오 프레스티지 로제,Chateau Puech Haut Prestige Rose,로제,9,1,3,레몬,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164245.png,찰스 & 찰스 로제,Charles & Charles Rose,로제,6,1,3,꽃,베리,허브,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164151.png,마레농 페투라,Marrenon Petula,로제,4,1,1,꽃,베리,파인애플,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163033.jpg,칠릴리스 테오페트라 에스테이트 로제,Tsililis Theopetra Estate Rose,로제,6,1,3,꽃,베리,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162386.jpg,프레시넷 미아 로제,Frexienet Mia Rose,로제,1,1,3,꽃,베리,사과,보발
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162053.jpg,모나스테리오 가르나차 로제,Monasterio Garnacha Rose,로제,2,2,3,돌,베리,시나몬,가르나차
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161972.png,도멘 라파주 아무르 로제,Domaine Lafage Amour Rose,로제,2,4,2,꽃,레몬,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161461.png,카판넬레 로사토,Capannelle Rosato,로제,7,1,3,꽃,베리,사과,산지오베제
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161440.jpg,도멘 오뜨 바이 오뜨 로제,Domaines Ott BY OTT Rose,로제,6,1,3,레몬,사과,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161387.jpg,핑크 페고,Chateau Pegau Rose Pink Pegau,로제,4,1,3,꽃,돌,레몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161223.png,카퍼 릿지 화이트 진판델,Copper Ridge White Zinfandel,로제,0,3,2,꽃,베리,사과,진판델
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161013.jpg,프란시스 포드 코폴라 소피아 로제,Francis Ford Coppola Sofia Rose,로제,9,1,2,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161005.jpg,레 오 드 스미스 로제,Les Hauts de Smith Rose,로제,8,1,3,꽃,레몬,베리,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0159000/W0159194.jpg,샤또 리카르델 비넬라크로아 로제,Chateau Ricardelle Vignelacroix Rose,로제,7,1,3,돌,레몬,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0156000/W0156993.png,몬테스 슈럽,Montes Cherub,로제,3,1,2,꽃,레몬,베리,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0156000/W0156089.jpg,더 롱 독 로제,The Long Dog Rose,로제,2,1,2,꽃,레몬,베리,시라/쉬라즈
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/W0155966.jpg,그랑 세르 따벨 '라 로제 에메',Grandes Serres Tavel 'La Rose d'Aimee',로제,5,1,3,꽃,레몬,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/W0155937.png,제라르 베르트랑 꼬뜨 로즈 로제,Gerard Bertrand Cote des Roses Rose,로제,3,1,3,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/W0155926.jpg,도팡 꼬뜨 뒤 론 리저브 로제,Les Dauphins Cotes du Rhone Reserve Rose,로제,3,1,3,말린과일,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/W0155174.jpg,로카 디 몬테그로시 로사토,Rocca Di Montegrossi Rosato,로제,6,1,2,꽃,레몬,베리,산지오베제
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/W0155035.png,도멘 라포르트 르 부케 로제,Domaine Laporte Le bouquet Rose de PN,로제,4,1,2,꽃,베리,사과,피노 누아
https://wine21.speedgabia.com/WINE_MST/TITLE/0154000/W0154561.jpg,돈나푸가타 루메라 로자토,Donnafugata Lumera Rosato,로제,4,1,3,꽃,말린과일,베리,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0154000/W0154558.jpg,마레농 멀롯 로제,Marrenon Merlot Rose,로제,2,2,2,꽃,레몬,파인애플,메를로
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153974.jpg,도멘 뮈르뮈리움 르 르뚜르 로제,Domaine Mur Mur Ium Le Retour Rose,로제,6,1,2,베리,사과,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153921.jpg,샤또 데스클랑 르 뿌쌍 로제,Chateau d'Esclans Le Poussin Rose,로제,3,1,3,꽃,베리,숙성,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153507.jpg,샤또 데스클랑,Chateau d'Esclans,로제,8,1,3,레몬,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153506.jpg,샤또 데스클랑 레 클랑,Chateau d'Esclans Les Clans,로제,14,1,3,돌,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153317.jpg,클라랑스 딜롱 클라랑델 로제,Clarence Dillon Clarendelle Rose,로제,3,2,2,꽃,레몬,베리,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153018.png,도멘 몽로즈,Domaine Montrose,로제,1,1,2,베리,사과,파인애플,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0152000/152688.jpg,레드트리 화이트 진판델,Redtree White Zinfandel,로제,3,3,2,말린과일,베리,사과,진판델
https://wine21.speedgabia.com/WINE_MST/TITLE/0152000/W0152353.jpg,그랜트 버지 모스카토 로사,Grant Burge Moscato Rosa,로제,4,4,2,꽃,시나몬,파인애플,모스카토 로사
https://wine21.speedgabia.com/WINE_MST/TITLE/0151000/W0151260.jpg,브루몽 따나 시라 메를로 로제,BruMont Tannat Syrah Merlot Rose,로제,3,1,3,꽃,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0151000/W0151233.jpg,두르뜨 뉘메로 엥 로제,Dourthe Numero 1 Rose,로제,5,1,2,꽃,레몬,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0150000/W0150368.png,니더버그 로제,Nederburg Rose,로제,2,2,3,꽃,레몬,베리,피노타주
https://wine21.speedgabia.com/WINE_MST/TITLE/0147000/W0147455.jpg,체루비노 발상지아코모 모스까뗄 데 발렌시아 로제,Cherubino Valsangiacomo Moscatel de Valencia Rose,로제,0,4,3,꽃,레몬,시나몬,모스카텔
https://wine21.speedgabia.com/WINE_MST/TITLE/0146000/W0146584.jpg,힐링어 스몰힐 로제,Small Hill Rose,로제,8,2,2,꽃,베리,숙성,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0144000/W0144874.jpg,토레스 데 카스타,Torres De Casta,로제,1,2,2,말린과일,베리,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0137000/W0137355.jpg,블루 넌 핑크 아이스,Blue Nun Pink Icewein,로제,6,4,4,레몬,사과,숙성,블렌디드
